Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.3.25 MIA v LAC Team,2291.6025529963200,11.799079008985200,Miami Heat,36,,+ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,,,,+ve Positioning - Create Shape,+ve QB12: Weak Side,"+ve Relocate: Slide Away, -ve Relocate: Weak Corner",3pt,Made,2z11,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Q0, Stat, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2325.201722211020,17.195818039278000,Miami Heat,37,,,"+ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,-ve Finishing: Ball Security,,,,-ve Positioning - Create Shape,,"+ve Relocate: Weak Corner, -ve Relocate: Slide Away",3pt,Made,4z11,"+ve Space Read: Live Dribble, -ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2539.095504958300,6.503986622009960,Miami Heat,38,,,,,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,,,,,,Short 2,Made,4z5,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2578.900729975350,10.89884508698150,Miami Heat,39,,,,,,,+ve Passing: Read the Length,,,,,Short 2,Miss Short,4z8,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2598.8995832532900,5.80184241038296,Miami Heat,40,,,,,+ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,,,,Short 2,Made,5z5,,+ve Transition: Pitch Ahead,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2622.0021784996700,14.099981913956100,Miami Heat,41,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Drive a Swing/Skip Pass,,,,,,+ve Positioning - Create Shape,,"+ve Relocate: Slide Away, -ve Relocate: Dunker- Baseline Cut",,,,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2659.301637079950,5.399904824379520,Miami Heat,42,,+ve Cutting & Screening: Principle,,,-ve Finishing: Ball Security,,,,,,,,,,,,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2669.6037933319800,16.300796834988400,Miami Heat,43,,,"+ve DM Catch: Swing, +ve DM Catch: Back-to-Back","+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,-ve Footwork: Step to Ball,,,,"+ve QB12: Strong Side, +ve QB12: Fill Behind","-ve Relocate: Dunker- Baseline Cut, -ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut, -ve Relocate: Fill Behind",Short 2,Miss Short,6z5,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2701.1029886886800,23.898372569261500,Miami Heat,44,,"-ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",-ve DM Catch: Swing,"+ve Driving: Paint Touch, +ve Driving: Paint Touch",,"-ve Footwork: Step to Ball, -ve Footwork: Step to Ball",+ve Passing: Teammate on the Move,,-ve Positioning - Create Shape,"-ve QB12: Strong Side, +ve QB12: Fill Behind","+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away, -ve Relocate: Dunker- Baseline Cut, -ve Relocate: Fill Behind, -ve Relocate: Reverse Direction",3pt,Miss Short,8z10,"+ve Space Read: Live Dribble, +ve Space Read: Live Dribble",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2733.9016831723400,6.599737204000580,Miami Heat,45,,,"-ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,,,,,,+ve QB12: Strong Side,,,,,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
