Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.17.25 MIA v NYK Team,2678.8765549509500,11.001406603384100,Miami Heat,42,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Weak Side,+ve Relocate: Dunker- Baseline Cut,3pt,Miss Long,7z11,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2700.593335708260,10.484134842724000,Miami Heat,43,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill",,,,,,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2738.018968207650,10.858983996016800,Miami Heat,44,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,+ve Finishing: Read the Length,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Fill Behind","+ve Relocate: Fill Behind, -ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut",Short 2,Miss Long,5z8,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2756.7778872610100,8.400065382648340,Miami Heat,45,,,,+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,,,,,,Short 2,Miss Long,5z7,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2802.778422687330,9.402328561642660,Miami Heat,46,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"+ve Finishing: Physicality, +ve Finishing: Earn a Foul",,,,,,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away, +ve Relocate: Dunker- Baseline Cut",Short 2,Fouled,6z5,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2871.376188303940,11.604652649709400,Miami Heat,47,,,+ve DM Catch: Swing,,,+ve Footwork: Step to Ball,,,,,,,,,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2892.080712479660,7.5982225256198000,Miami Heat,48,,,+ve DM Catch: Drive Pass,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Fill Behind,,Short 2,Miss Long,5z8,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,2956.575741423650,23.403325297328600,Miami Heat,49,,"-ve Cutting & Screening: Denial, -ve Cutting & Screening: Movement",-ve DM Catch: Swing,,,-ve Footwork: Patient Pickup,,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3012.4779087320100,9.30030552126118,Miami Heat,50,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,+ve Passing: Read the Length,,,-ve QB12: Strong Side,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Made,5z7,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3234.07692317663,8.699124223006040,Miami Heat,51,,,+ve DM Catch: Uncontested Shot,,,,+ve Passing: Teammate on the Move,,,+ve QB12: Strong Side,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away",3pt,Miss Left,7z11,-ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
