Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped
10.12.25 MIA v ORL Team,4723.825285595650,10.104704862352300,Miami Heat,71,,,,+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,,,,Short 2,Fouled,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4863.82289776799,10.905316766969900,Miami Heat,72,,,,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Weak Side,,Short 2,Made,5z5,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,4883.927579845670,12.499054279331200,Miami Heat,73,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Swing, -ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Physicality, +ve Finishing: Earn a Foul",+ve Footwork: Step to Ball,,,,-ve QB12: Strong Side,"-ve Relocate: Weak Corner, +ve Relocate: Fill Behind, +ve Relocate: Slide Away",Short 2,Fouled,6z5,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5013.828477157330,10.098447195978200,Miami Heat,74,,,-ve DM Catch: Swing,,,,-ve Passing: Teammate on the Move,,,,"+ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut",,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5057.5250182813200,14.800476960673200,Miami Heat,75,,+ve Cutting & Screening: Cut Fill,+ve DM Catch: Drive Pass,+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,,-ve QB12: Strong Side,,Short 2,Fouled,5z7,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5174.525328083980,13.799831838669900,Miami Heat,76,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"+ve Finishing: Earn a Foul, +ve Finishing: Read the Length",+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,,,Short 2,Made,5z5,"-ve Space Read: Catch, +ve Space Read: Live Dribble",,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5238.925548235640,14.00216279835330,Miami Heat,77,,,-ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Miss Long,7z1,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5312.925488276310,21.7023360970079,Miami Heat,78,,+ve Cutting & Screening: Principle,-ve DM Catch: Uncontested Shot,,-ve Finishing: Ball Security,+ve Footwork: Step to Ball,"+ve Passing: Read the Length, -ve Passing: Teammate on the Move",,,"+ve QB12: Roller, -ve QB12: Baseline, +ve QB12: Strong Side",,3pt,Miss Long,7z1,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5356.6268052843300,25.89978278667970,Miami Heat,79,,,"+ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Swing, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,,+ve Footwork: Patient Pickup,,,-ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: 45 Cut, +ve Relocate: Weak Corner, -ve Relocate: Slide Away",Short 2,Made,5z7,"+ve Space Read: Catch, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5393.827235541320,16.90094470134140,Miami Heat,80,,+ve Cutting & Screening: Principle,,+ve Driving: Paint Touch,,-ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,-ve QB12: Weak Side,,Short 2,Miss Long,5z4,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
